,1_0,2_0
0,0,0
1,4622,9725
2,4266,8129
3,4005,3173
4,6923,5091
5,31,35
6,29,18
7,24,30
8,134,37
9,113,4863
10,128,102
11,4106,82
12,7361,2791
13,107,140
14,159,201
15,328,43
16,140,23
17,1691,45
18,5175,316
19,9480,7857
20,9650,6335
21,17143,13096
22,17469,11288
23,14753,11623
24,15228,12286
25,16345,15644
26,11563,29
27,16075,13277
28,13131,11745
29,9376,12569
30,10989,10575
31,9141,6880
32,5621,6619
33,10091,4802
34,9145,6593
35,9169,4964
36,8491,8261
37,9043,5993
38,10730,7902
39,9362,6593
40,8631,9210
41,5953,8468
42,5788,5070
43,5488,26
44,6468,8129
45,8242,6082
46,7340,5256
47,3850,10613
48,8253,4382
49,7048,4297
50,6505,8686
51,7980,4847
52,92,24
53,191,14
54,30,106
55,26,21
56,14,34
57,30,21
58,112,122
59,145,21
60,25,19
61,145,37
62,8091,6496
63,7036,8313
64,7059,5926
65,7969,4298
66,8508,8052
67,78,4539
68,162,2032
69,82,154
70,158,38
71,39,70
72,6324,471
73,7280,8182
74,8978,4900
75,4385,7044
76,5378,3585
77,273,7401
78,5880,3101
79,52,125
80,91,57
81,39,41
82,6024,659
83,7451,6147
84,10757,5225
85,7320,8413
86,8889,10391
87,5172,6599
88,5009,6648
89,103,66
90,140,116
91,31,66
92,5493,69
93,132,6033
94,136,6310
95,35,148
96,4931,93
97,83,222
98,6209,164
99,119,131
100,175,7976
101,155,9075
102,7204,6519
103,9253,2208
104,10886,109
105,10241,63
106,7763,5760
107,4702,71
108,10014,144
109,88,231
110,7017,5982
111,215,226
112,58,5211
113,157,11472
114,5712,9270
115,7559,6646
116,177,5327
117,5487,4443
118,4033,33
119,9921,10582
120,195,9890
121,4988,5384
122,33,6778
123,6224,10911
124,4576,8214
125,5519,9037
126,4973,5895
127,10574,4559
128,93,1703
129,9321,104
130,10043,9959
131,9846,3513
132,169,60
133,9680,54
134,11829,10194
135,5505,6101
136,51,9555
137,151,136
138,20,110
139,53,157
140,5283,71
141,8546,70
142,7766,102
143,6344,8296
144,10002,6810
145,7617,6954
146,8054,7731
147,4595,9731
148,151,4727
149,34,5066
150,4544,151
151,69,3724
152,74,144
153,41,49
154,3530,202
155,75,153
156,3417,4298
157,23,214
158,189,204
159,115,131
160,7648,2634
161,4699,133
162,52,4041
163,54,76
164,5432,46
165,10301,7123
166,8667,8253
167,9995,10471
168,4993,9989
169,54,58
170,6611,4321
171,94,42
172,2169,78
173,1861,3139
